"PVWatts Hourly PV Performance Data"
"Requested Location","los angeles, CA"
"Location","Lat, Lng: 34.05, -118.26"
"Latitude (DD)","34.05"
"Longitude (DD)","-118.26"
"Elevation (m)","97.559997558594"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","18","15","819","87","23","1.6","0.13","583.85","38.542","4813","4602.82"
"3","18","16","661","72","21","1.4","0.13","326.913","30.009","2654.983","2521.271"
"3","18","17","316","36","19","1","0.13","79.705","21.21","482.251","425.527"
"3","18","18","0","0","17","0.4","0.13","0","17","0","0"
"3","18","19","0","0","16","0.4","0.13","0","16","0","0"
"3","18","20","0","0","15","0.8","0.13","0","15","0","0"
"3","18","21","0","0","15","1","0.13","0","15","0","0"
"3","18","22","0","0","14","1","0.13","0","14","0","0"
"3","18","23","0","0","14","1.1","0.13","0","14","0","0"
"3","19","0","0","0","14","1.1","0.13","0","14","0","0"
"3","19","1","0","0","13","1.1","0.13","0","13","0","0"
"3","19","2","0","0","13","1.2","0.13","0","13","0","0"
"3","19","3","0","0","13","1.3","0.13","0","13","0","0"
"3","19","4","0","0","12","1.4","0.13","0","12","0","0"
"3","19","5","0","0","12","1.3","0.13","0","12","0","0"
"3","19","6","323","33","14","1.6","0.13","75.899","15.808","457.175","401.339"
"3","19","7","666","69","17","1.2","0.13","322.448","26.309","2649.669","2516.145"
"3","19","8","805","88","20","0.9","0.13","573.501","38.049","4736.24","4528.781"
"3","19","9","874","101","22","1.7","0.13","783.322","42.347","6298.051","6035.25"
"3","19","10","897","115","23","2.5","0.13","930.227","43.571","7379.193","7078.083"
"3","19","11","914","119","23","3.2","0.13","1010.291","42.778","8003.291","7680.067"
"3","19","12","474","329","23","3.7","0.13","814.512","37.712","6550.425","6278.681"
